	Unnamed: 0	trans_date_trans_time	cc_num	merchant	category	amt	first	last	gender	street	city	state	zip	lat	long	city_pop	job	dob	trans_num	unix_time	merch_lat	merch_long	is_fraud
0	0	01-01-2019 00:00	2.70319E+15	fraud_Rippin, Kub and Mann	misc_net	4.97	Jennifer	Banks	F	561 Perry Cove	Moravian Falls	NC	28654	36.0788	-81.1781	3495	Psychologist, counselling	09-03-1988	0b242abb623afc578575680df30655b9	1325376018	36.011293	-82.048315	0
1	1	01-01-2019 00:00	6.30423E+11	fraud_Heller, Gutmann and Zieme	grocery_pos	107.23	Stephanie	Gill	F	43039 Riley Greens Suite 393	Orient	WA	99160	48.8878	-118.2105	149	Special educational needs teacher	21-06-1978	1f76529f8574734946361c461b024d99	1325376044	49.159047	-118.186462	0
2	2	01-01-2019 00:00	3.88595E+13	fraud_Lind-Buckridge	entertainment	220.11	Edward	Sanchez	M	594 White Dale Suite 530	Malad City	ID	83252	42.1808	-112.262	4154	Nature conservation officer	19-01-1962	a1a22d70485983eac12b5b88dad1cf95	1325376051	43.150704	-112.154481	0
3	3	01-01-2019 00:01	3.53409E+15	fraud_Kutch, Hermiston and Farrell	gas_transport	45	Jeremy	White	M	9443 Cynthia Court Apt. 038	Boulder	MT	59632	46.2306	-112.1138	1939	Patent attorney	12-01-1967	6b849c168bdad6f867558c3793159a81	1325376076	47.034331	-112.561071	0
4	4	01-01-2019 00:03	3.75534E+14	fraud_Keeling-Crist	misc_pos	41.96	Tyler	Garcia	M	408 Bradley Rest	Doe Hill	VA	24433	38.4207	-79.4629	99	Dance movement psychotherapist	28-03-1986	a41d7549acf90789359a9aa5346dcb46	1325376186	38.674999	-78.632459	0
5	5	01-01-2019 00:04	4.76727E+15	fraud_Stroman, Hudson and Erdman	gas_transport	94.63	Jennifer	Conner	F	4655 David Island	Dublin	PA	18917	40.375	-75.2045	2158	Transport planner	19-06-1961	189a841a0a8ba03058526bcfe566aab5	1325376248	40.653382	-76.152667	0
6	6	01-01-2019 00:04	3.00747E+13	fraud_Rowe-Vandervort	grocery_net	44.54	Kelsey	Richards	F	889 Sarah Station Suite 624	Holcomb	KS	67851	37.9931	-100.9893	2691	Arboriculturist	16-08-1993	83ec1cc84142af6e2acf10c44949e720	1325376282	37.162705	-100.15337	0
7	7	01-01-2019 00:05	6.01136E+15	fraud_Corwin-Collins	gas_transport	71.65	Steven	Williams	M	231 Flores Pass Suite 720	Edinburg	VA	22824	38.8432	-78.6003	6018	Designer, multimedia	21-08-1947	6d294ed2cc447d2c71c7171a3d54967c	1325376308	38.948089	-78.540296	0
8	8	01-01-2019 00:05	4.92271E+15	fraud_Herzog Ltd	misc_pos	4.27	Heather	Chase	F	6888 Hicks Stream Suite 954	Manor	PA	15665	40.3359	-79.6607	1472	Public affairs consultant	07-03-1941	fc28024ce480f8ef21a32d64c93a29f5	1325376318	40.351813	-79.958146	0
9	9	01-01-2019 00:06	2.72083E+15	fraud_Schoen, Kuphal and Nitzsche	grocery_pos	198.39	Melissa	Aguilar	F	21326 Taylor Squares Suite 708	Clarksville	TN	37040	36.522	-87.349	151785	Pathologist	28-03-1974	3b9014ea8fb80bd65de0b1463b00b00e	1325376361	37.179198	-87.485381	0
